name,type,variable_description,variable,value,annotation,year,date,geography_id,change_rate
"Geronimo Estates CDP, Arizona",place,Median Household Income,B19013_001E,35000.0,,2011,2011-12-31,1600000US0426780,
"Gila Bend town, Arizona",place,Median Household Income,B19013_001E,32647.0,,2011,2011-12-31,1600000US0427050,
"Gila Crossing CDP, Arizona",place,Median Household Income,B19013_001E,30417.0,,2011,2011-12-31,1600000US0427260,
"Gilbert town, Arizona",place,Median Household Income,B19013_001E,80090.0,,2011,2011-12-31,1600000US0427400,
"Gisela CDP, Arizona",place,Median Household Income,B19013_001E,52115.0,,2011,2011-12-31,1600000US0427540,
"Glendale city, Arizona",place,Median Household Income,B19013_001E,51570.0,,2011,2011-12-31,1600000US0427820,
"Globe city, Arizona",place,Median Household Income,B19013_001E,34957.0,,2011,2011-12-31,1600000US0428030,
"Gold Canyon CDP, Arizona",place,Median Household Income,B19013_001E,64649.0,,2011,2011-12-31,1600000US0428140,
"Golden Shores CDP, Arizona",place,Median Household Income,B19013_001E,35750.0,,2011,2011-12-31,1600000US0428190,
"Golden Valley CDP, Arizona",place,Median Household Income,B19013_001E,36714.0,,2011,2011-12-31,1600000US0428195,
"Goodyear city, Arizona",place,Median Household Income,B19013_001E,72500.0,,2011,2011-12-31,1600000US0428380,
"Goodyear Village CDP, Arizona",place,Median Household Income,B19013_001E,78611.0,,2011,2011-12-31,1600000US0428465,
"Grand Canyon Village CDP, Arizona",place,Median Household Income,B19013_001E,59861.0,,2011,2011-12-31,1600000US0428981,
"Grand Canyon West CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0428985,
"Greasewood CDP, Arizona",place,Median Household Income,B19013_001E,24688.0,,2011,2011-12-31,1600000US0429430,
"Green Valley CDP, Arizona",place,Median Household Income,B19013_001E,44429.0,,2011,2011-12-31,1600000US0429710,
"Greer CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0429850,
"Guadalupe town, Arizona",place,Median Household Income,B19013_001E,36849.0,,2011,2011-12-31,1600000US0430270,
"Gu Oidak CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0430550,
"Hackberry CDP, Arizona",place,Median Household Income,B19013_001E,116250.0,,2011,2011-12-31,1600000US0430830,
"Haigler Creek CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0430840,
"Haivana Nakya CDP, Arizona",place,Median Household Income,B19013_001E,45721.0,,2011,2011-12-31,1600000US0430850,
"Hard Rock CDP, Arizona",place,Median Household Income,B19013_001E,21000.0,,2011,2011-12-31,1600000US0431182,
"Hayden town, Arizona",place,Median Household Income,B19013_001E,30357.0,,2011,2011-12-31,1600000US0432020,
"Heber-Overgaard CDP, Arizona",place,Median Household Income,B19013_001E,29219.0,,2011,2011-12-31,1600000US0432310,
"Holbrook city, Arizona",place,Median Household Income,B19013_001E,50610.0,,2011,2011-12-31,1600000US0433280,
"Hondah CDP, Arizona",place,Median Household Income,B19013_001E,34722.0,,2011,2011-12-31,1600000US0433440,
"Hotevilla-Bacavi CDP, Arizona",place,Median Household Income,B19013_001E,42563.0,,2011,2011-12-31,1600000US0433945,
"Houck CDP, Arizona",place,Median Household Income,B19013_001E,18516.0,,2011,2011-12-31,1600000US0433980,
"Huachuca City town, Arizona",place,Median Household Income,B19013_001E,38656.0,,2011,2011-12-31,1600000US0434120,
"Hunter Creek CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0434700,
"Icehouse Canyon CDP, Arizona",place,Median Household Income,B19013_001E,61429.0,,2011,2011-12-31,1600000US0434980,
"Indian Wells CDP, Arizona",place,Median Household Income,B19013_001E,39333.0,,2011,2011-12-31,1600000US0435310,
"Jakes Corner CDP, Arizona",place,Median Household Income,B19013_001E,41875.0,,2011,2011-12-31,1600000US0436010,
"Jeddito CDP, Arizona",place,Median Household Income,B19013_001E,17273.0,,2011,2011-12-31,1600000US0436150,
"Jerome town, Arizona",place,Median Household Income,B19013_001E,58125.0,,2011,2011-12-31,1600000US0436290,
"Joseph City CDP, Arizona",place,Median Household Income,B19013_001E,50556.0,,2011,2011-12-31,1600000US0436430,
"Kachina Village CDP, Arizona",place,Median Household Income,B19013_001E,45304.0,,2011,2011-12-31,1600000US0436475,
"Kaibab CDP, Arizona",place,Median Household Income,B19013_001E,26250.0,,2011,2011-12-31,1600000US0436500,
"Kaibito CDP, Arizona",place,Median Household Income,B19013_001E,39271.0,,2011,2011-12-31,1600000US0436640,
"Kaka CDP, Arizona",place,Median Household Income,B19013_001E,-666666666.0,"Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.",2011,2011-12-31,1600000US0436780,
"Katherine CDP, Arizona",place,Median Household Income,B19013_001E,39737.0,,2011,2011-12-31,1600000US0436920,
"Kayenta CDP, Arizona",place,Median Household Income,B19013_001E,31417.0,,2011,2011-12-31,1600000US0436990,
"Keams Canyon CDP, Arizona",place,Median Household Income,B19013_001E,58603.0,,2011,2011-12-31,1600000US0437130,
"Kearny town, Arizona",place,Median Household Income,B19013_001E,51495.0,,2011,2011-12-31,1600000US0437200,
